"matt.code","site","date","timestamp","trip","lake.code","dup.num","ice.on.off","o2.g.m3","do.pct.sat","delo18.o2","sd.delo18.o2","delo18.h2o","wind.ms","sd.wind.ms","wind.height.ms","lake.area.km2","zmix.m","h2o.temp.c","gppv","gppa","rv","ra","nepv","nepa","gpptor","a","b","c","d","g"
1,"EC5",2018-09-26,1138,1,5,1,1,8.105,92.8,22.74059244,0.201,-6.01,2.88,1.24,3,0.153,10.5,22.2,0.297106905380469,3.11962250649492,0.40108619606675,4.21140505870088,-0.103979290686282,-1.09178255220596,0.740755748500054,0.00204457099882103,0.00204087177884707,0.00201590323121176,0.00198918400838415,0.00209224983404091
2,"EC2",2018-09-28,1214,2,2,1,1,7.9,89.6,23.39928347,0.201,-6.1,2.88,1.24,3,0.153,10.5,21.58,0.252808223262974,2.65448634426123,0.401486650073748,4.21560982577435,-0.148678426810774,-1.56112348151312,0.629680272598203,0.00204457099882103,0.00204218350043145,0.00201719890485858,0.00198900425760581,0.00206514021571583
3,"EC5",2018-09-28,931,2,5,1,1,7.9,89.6,23.19288677,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.4,0.277834599772802,2.91726329761442,0.425665531213474,4.46948807774147,-0.147830931440672,-1.55222478012705,0.652706360744698,0.00204457099882103,0.00204177248107797,0.00201679291402106,0.00198918400838415,0.00206868130553047
4,"EC8",2018-09-28,1045,2,8,1,1,8.08,91.6,23.04856299,0.201,-5.95,2.88,1.24,3,0.153,10.5,21.46,0.271495780980367,2.85070570029385,0.391179826535369,4.10738817862138,-0.119684045555003,-1.25668247832753,0.694043410635386,0.00204457099882103,0.00204148507382591,0.00201650902298287,0.0019893038422004,0.00207822227614872
5,"NL70",2018-09-28,840,2,1,1,1,8.19,92.1,23.93690667,0.201,-6.73,2.88,1.24,3,0.153,10.5,21.07,0.153052441451387,1.60705063523957,0.265124262999132,2.78380476149089,-0.112071821547745,-1.17675412625132,0.577285683777251,0.00204457099882103,0.00204325412419184,0.0020182564303339,0.00198774600034443,0.00205992342329546
6,"NL76",2018-09-28,1316,2,9,1,1,8.05,92,22.5022188,0.201,-5.83,2.88,1.24,3,0.153,10.5,21.85,0.341053728340584,3.58106414757613,0.455527899940384,4.78304294937403,-0.114474171599799,-1.20197880179789,0.748699977290563,0.00204457099882103,0.00204039707918396,0.00201543433914581,0.00198954350974658,0.00209257107464724
7,"EC5",2018-10-01,855,3,5,1,1,8.19,92.4,23.17219581,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.2,0.244038118851183,2.56240024793743,0.351950861742009,3.69548404829109,-0.107912742890825,-1.13308380035367,0.693386905329058,0.00204457099882103,0.00204173127698475,0.00201675221402926,0.00198918400838415,0.00207909603798842
8,"EC2",2018-10-03,1050,4,2,1,1,8.64,98.2,22.12123136,0.201,-6.1,2.88,1.24,3,0.153,10.5,21.64,0.299532705278728,3.14509340542665,0.325260146665873,3.41523153999167,-0.0257274413871452,-0.270138134565024,0.920901956016226,0.00204457099882103,0.00203963837602548,0.00201468491815594,0.00198900425760581,0.00231367297577789
9,"EC5",2018-10-03,940,4,5,1,1,8.483333333,96.16666667,22.10772238,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.53,0.331648654713504,3.48231087449179,0.38639120717992,4.05710767538916,-0.0547425524664161,-0.574796800897369,0.858323503617083,0.00204457099882103,0.00203961147405232,0.0020146583453084,0.00198918400838415,0.00216899038117448
10,"EC8",2018-10-03,1157,4,8,1,1,8.67,99.1,21.74451892,0.201,-5.95,2.88,1.24,3,0.153,10.5,21.99,0.344528133277368,3.61754539941236,0.35746172303069,3.75334809182225,-0.0129335897533227,-0.135802692409889,0.963818252640683,0.00204457099882103,0.00203888818501807,0.00201394390517729,0.0019893038422004,0.00267031194090252
11,"NL70",2018-10-03,905,4,1,1,1,8.37,94.5,22.50529679,0.201,-6.73,2.88,1.24,3,0.153,10.5,21.29,0.284683767449915,2.9891795582241,0.36294543429638,3.81092706011199,-0.0782616668464655,-0.821747501887887,0.784370708511086,0.00204457099882103,0.00204040320872708,0.00201544039369853,0.00198774600034443,0.00211618121043518
12,"NL76",2018-10-03,1220,4,9,1,1,8.72,99.8,20.70945745,0.201,-5.83,2.88,1.24,3,0.153,10.5,22.15,0.502699310806313,5.27834276346628,0.505584274735892,5.30863488472687,-0.00288496392957949,-0.0302921212605849,0.994293802094446,0.00204457099882103,0.00203682694169784,0.00201190787963535,0.00198954350974658,0.00590885550329016
13,"EC5",2018-10-05,930,5,5,1,1,8.15,91.7,23.25581468,0.201,-6.01,2.88,1.24,3,0.153,10.5,21.13,0.243141644343787,2.55298726560977,0.361049745525379,3.79102232801648,-0.117908101181591,-1.23803506240671,0.673429762400139,0.00204457099882103,0.00204189779604817,0.00201691669585584,0.00198918400838415,0.00207410505837179
14,"EC5",2018-10-09,924,6,5,1,1,8.12,89.7,24.60483168,0.201,-6.01,2.88,1.24,3,0.153,10.5,20.21,0.118491983366714,1.2441658253505,0.263175566300756,2.76334344615794,-0.144683582934042,-1.51917762080744,0.450239302349623,0.00204457099882103,0.00204458422799086,0.00201957026130264,0.00198918400838415,0.00204445578944882
15,"EC2",2018-10-12,1007,7,2,1,1,8.23,90.2,24.43673893,0.201,-6.1,2.88,1.24,3,0.153,10.5,19.82,0.128186042802348,1.34595344942466,0.265183959905709,2.78443157900995,-0.136997917103361,-1.43847812958529,0.483385355765606,0.00204457099882103,0.00204424948894323,0.00201923961753819,0.00198900425760581,0.00204753020198198
16,"EC5",2018-10-12,859,7,5,1,1,8.22,90.23333333,24.46717689,0.201,-6.01,2.88,1.24,3,0.153,10.5,19.81,0.125259191259672,1.31522150822656,0.261530207450154,2.74606717822662,-0.136271016190482,-1.43084567000006,0.478947317332549,0.00204457099882103,0.0020443101029587,0.00201929948998628,0.00198918400838415,0.00204698139165058
17,"EC8",2018-10-12,1120,7,8,1,1,8.31,91.3,24.0499375,0.201,-5.95,2.88,1.24,3,0.153,10.5,19.99,0.15701986565136,1.64870858933928,0.279019305501362,2.9297027077643,-0.121999439850003,-1.28099411842503,0.562756277273421,0.00204457099882103,0.00204347921368703,0.0020184787660266,0.0019893038422004,0.00205602846810074
18,"NL70",2018-10-12,817,7,1,1,1,8.41,91.3,24.98855511,0.201,-6.73,2.88,1.24,3,0.153,10.5,19.34,0.0596807821805945,0.626648212896242,0.180537609178055,1.89564489636958,-0.120856826997461,-1.26899668347334,0.330572574059821,0.00204457099882103,0.0020453483720344,0.0020203250566124,0.00198774600034443,0.00203641304774275
19,"NL76",2018-10-12,1148,7,9,1,1,8.14,90,23.82626984,0.201,-5.83,2.88,1.24,3,0.153,10.5,20.27,0.199204417655302,2.09164638538067,0.339824060733291,3.56815263769956,-0.140619643077989,-1.47650625231888,0.586198685359261,0.00204457099882103,0.00204303380200752,0.00201803880362757,0.00198954350974658,0.00205840577014256
20,"EC5",2018-10-16,908,8,5,1,1,8.65,92.6,24.13543738,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.58,0.129198137152311,1.35658044009927,0.230826878608119,2.42368222538524,-0.101628741455807,-1.06710178528598,0.559718772490342,0.00204457099882103,0.00204364947800503,0.00201864694728736,0.00198918400838415,0.00205610246200495
21,"EC5",2018-10-19,908,9,5,1,1,9.01,96.6,22.40902394,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.72,0.27527872547908,2.89042661753033,0.322123169753116,3.38229328240772,-0.0468444442740367,-0.491866664877385,0.854575986229306,0.00204457099882103,0.00204021148987972,0.00201525102038861,0.00198918400838415,0.00216843234109464
22,"NL70",2018-10-19,836,9,1,1,1,8.8,93.7,23.40749146,0.201,-6.73,2.88,1.24,3,0.153,10.5,18.37,0.183540789129971,1.92717828586469,0.26991235547787,2.83407973251764,-0.0863715663478994,-0.906901446652944,0.680001435299319,0.00204457099882103,0.0020421998458541,0.00201721505030715,0.00198774600034443,0.0020798371945355
23,"NL76",2018-10-19,1150,9,9,1,1,9.025,98.65,21.3566915,0.201,-5.83,2.88,1.24,3,0.153,10.5,19.88,0.40353221221161,4.23708822822191,0.42249191223736,4.43616507849228,-0.0189597000257501,-0.199076850270377,0.955124111310566,0.00204457099882103,0.00203811585828514,0.00201318102728727,0.00198954350974658,0.00251627441649866
24,"EC5",2018-10-22,1018,10,5,1,1,8.96,96.1,21.8910657,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.73,0.350036147198893,3.67537954558837,0.403767403784489,4.23955773973714,-0.0537312565855965,-0.564178194148764,0.86692522456747,0.00204457099882103,0.00203918002068762,0.00201423217045458,0.00198918400838415,0.00217741022923645
25,"EC2",2018-10-25,908,11,2,1,1,8.74,92.7,22.67321854,0.201,-6.1,2.88,1.24,3,0.153,10.5,18.17,0.288850636180186,3.03293167989196,0.388638921716856,4.08070867802699,-0.0997882855366695,-1.04777699813503,0.743236510908776,0.00204457099882103,0.0020407376098312,0.00201577070365396,0.00198900425760581,0.00209324978777403
26,"EC5",2018-10-25,1019,11,5,1,1,8.84,93.9,22.7055375,0.201,-6.01,2.88,1.24,3,0.153,10.5,18.29,0.272153536433352,2.85761213255019,0.355756332751753,3.73544149389341,-0.0836027963184017,-0.877829361343217,0.764999836624869,0.00204457099882103,0.00204080197011554,0.00201583427653812,0.00198918400838415,0.00210258932594313
27,"EC8",2018-10-25,1128,11,8,1,1,8.91,95.2,22.25392717,0.201,-5.95,2.88,1.24,3,0.153,10.5,18.6,0.315009901257833,3.30760396320725,0.381102875337633,4.00158019104514,-0.0660929740797994,-0.693976227837894,0.826574454414066,0.00204457099882103,0.00203990262825434,0.0020149459374554,0.0019893038422004,0.00213716034839366
28,"NL70",2018-10-25,825,11,1,1,1,8.99,94.7,23.90595572,0.201,-6.73,2.88,1.24,3,0.153,10.5,17.83,0.120776223682894,1.26815034867038,0.1928763775052,2.0252019638046,-0.0721001538223059,-0.757051615134212,0.626184633105905,0.00204457099882103,0.00204319248847954,0.00201819554868868,0.00198774600034443,0.00206920211756412
