"Date","Site","ER","NEP","Temp.C","SpCond.uS","pH","Chl.ug.L","Chl.RFU","ODOsat..","ODO.mg.L","Turbid..NTU","SampleCode","Project","Event","Location","TimeStart","TimeEnd","TotalDepth","DeepSampleDepth","TowTime1","TowTime2","TowAngle1","TowAngle2","SecchiDepth","HachTurbidity","EC_min","EC_max","SUNA_NO3_uM","GPS.waypoint.1","GPS.waypoint.2","Notes","ChlA_a_VolumeFiltered_mL","ChlA_b_VolumeFiltered_mL","CHN_VolumeFiltered_mL","Sterivex_VolumeFiltered_mL","X__1","TowDepth1","TowDepth2","TowVolume1","TowVolume2","DateTime_start","DateTime_end","TIMESTAMP","EXOTemp","EXOSpCond","EXOpH","EXOpHmV","EXODOmgL","EXOODO","EXOTurbFNU","EXOChlugL","EXOBGAPCugL","TIMESTAMP_round","NO3_uM","LinearDist","LinearDist_km","SampleLabel","DOC.ppm","NH4.ppm","NO3.ppm","TN.ppm","TDN.ppm","TP.ppm","PO4","DIN.ppm","DON.ppm","TPN.ppm","TSS","VSS","Vg","R.28.40","Area.32","d.34O2.32O2","d.33O2.32O2","Area.40","d.32O2.40Ar","Area.28","d.15N.14N","Area.44","d.13C.12C","d.33O2.32O2_corr","d.32O2.40Ar_corr","d.15N.14N_corr","d.13C.12C_corr","d180_02.vs.air","d180_02.vs.VSMOW","d170_02.vs.air","d15N_N2.vs.air","O2.Ar","d13C.CO2","d13C.TotalDIC","wind.ms","sd.wind.ms","wind.height.ms","zmix.m","delo18.h2o","lake.area.km2","gppv","gppa","rv","ra","nepv","nepa","gpptor","a","b","c","d","g"
2018-09-26,"EC2",-0.03975,0.16525,22.94,854,8.39,3.2,0.8,97.6,8.36,15.8,"SSCN_01_02","SSCN",1,2,1305,1327,34,28,42,30,0,0,0.5,NA,844,850,NA,352,354,NA,500,500,500,NA,NA,28,28,622.7189559722,622.7189559722,"2018-09-26 13:05:00","2018-09-26 13:27:00","2018-09-26 13:16:05",22.95,847.84,8.44,-104.01,NA,NA,12.23,2.95,-1.05,"2018-09-26 13:16:05",NA,13115.4753366177,13.1154753366177,"SSCN_01_02_S",3.388045642176,0.0272472,0.0098868,0.3016208,0.1355175885,0.1760562,0.100848162,0.037134,0.0983835885,0.1661032115,13.91,2.13999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.5044345898004,-6.1,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198900425760581,NA
2018-09-26,"EC3",-0.01425,0.181,22.785,863.5,8.335,3.9,0.95,97.1,8.345,12.95,"SSCN_01_03","SSCN",1,3,1234,1257,35.9,30,40,42,0,0,0.5,14.5,850,855,NA,350,351,NA,500,500,500,NA,NA,29.9,29.9,664.974885127457,664.974885127457,"2018-09-26 12:34:00","2018-09-26 12:57:00","2018-09-26 12:45:33",22.78,854.64,8.45,-104.29,NA,NA,11.71,2.63,-1.06,"2018-09-26 12:45:32",NA,12735.9753366178,12.7359753366178,"SSCN_01_03_S",3.453190237244,0.0289064,0.0074151,0.4362188,0.1111288365,0.2074452,0.10703005,0.0363215,0.0748073365,0.3250899635,11.41,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.4462305986696,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC4",-0.025,0.178,22.25,867,8.365,3.2,0.75,95.3,8.275,12.95,"SSCN_01_04","SSCN",1,4,1215,1231,34.4,28,43,30,0,45,0.5,13,861,865,NA,348,349,NA,500,500,500,NA,NA,28.4,40.1636651713959,631.614941057517,893.238415841024,"2018-09-26 12:15:00","2018-09-26 12:31:00","2018-09-26 12:23:06",22.54,862.105,8.46,-104.77,NA,NA,11.5,2.53,-1.06,"2018-09-26 12:23:05",NA,12358.4753366178,12.3584753366178,"SSCN_01_04_S",3.574821140336,0.0305656,0.0074151,0.3868662,0.133981944,0.1572228,0.10703005,0.0379807,0.096001244,0.252884256,11.8,1.84999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.9312638580931,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC5",-0.02775,0.1435,21.925,873.5,8.18,2.6,0.6,92.8,8.105,13.6,"SSCN_01_05","SSCN",1,5,1138,1159,37.7,31,47,39,45,0,0.5,12.9,868,872,NA,346,347,NA,500,500,500,NA,NA,44.8305699272271,31.7,997.030203597199,705.006818011384,"2018-09-26 11:38:00","2018-09-26 11:59:00","2018-09-26 11:48:34",22.2,869.94,8.45,-104.42,NA,NA,11.01,2.03,-1.07,"2018-09-26 11:48:35",NA,11978.9753366178,11.9789753366178,"SSCN_01_05_S",3.564282019196,0.0355432,0.0074151,0.2926476,0.106599066,0.1948896,0.1054836345,0.0429583,0.063640766,0.186048534,12.17,1.94999999999999,5.322,0.0383412900181963,9.72033333333331,-3.17533333333333,-1.25016666666667,1.038,-106.356166666667,27.0058333333333,19.4805,73.685,1.34333333333334,-1.40882218531172,-85.1787728931778,14.67438938781,0.844312855694038,-1.03477979596567,22.7405924448902,-0.606746637409894,2.03577478764916,19.8615500692448,-10.1154899994471,-10.6942546045809,2.83166666666667,0.574224114203969,10,9.91407982261641,-6.01,0.153,0.293868777901703,2.91343852149222,0.396714812755798,3.93306232047531,-0.102846034854095,-1.01962379898309,0.740755748090997,0.00204457099882103,0.00204087177885681,0.00201590323122138,0.00198918400838415,0.00209224983391539
2018-09-26,"EC6",-0.02075,0.1445,23.41,884,8.35,3.3,0.8,99.7,8.46,11.8,"SSCN_01_06","SSCN",1,6,1359,1420,32,26,35,44,30,60,0.6,11.6,873,875,NA,357,358,NA,500,500,500,NA,NA,30.0222139978605,52,667.692919882917,1156.47806109123,"2018-09-26 13:59:00","2018-09-26 14:20:00","2018-09-26 14:09:35",24.09,873.375,8.49,-106.61,NA,NA,10.19,2.98,-1.06,"2018-09-26 14:09:35",NA,12229.9753366175,12.2299753366175,"SSCN_01_06_S",3.5402322975,0.0230992,0.0041195,0.333027,0.1401336,0.1697784,0.1054836345,0.0272187,0.1129149,0.1928934,10.33,1.78999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.6984478935698,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC7",-0.0385,0.185,23.75,882,8.53,4.3,1,101.2,8.54,11.5,"SSCN_01_07","SSCN",1,7,1425,1442,32,26,40,48,0,60,0.6,12.8,876,880,NA,359,360,NA,500,500,500,NA,NA,26,52,578.239030545614,1156.47806109123,"2018-09-26 14:25:00","2018-09-26 14:42:00","2018-09-26 14:33:21",24.215,876.4,8.5,-107.345,NA,NA,10.23,3.07,-1.07,"2018-09-26 14:33:20",NA,11791.4753366181,11.7914753366181,"SSCN_01_07_S",3.534531199856,0.0247584,0,0.3734064,0.15561865,0.1886118,0.1054836345,0.0247584,0.13086025,0.21778775,12.7631578947369,2.51315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.4212860310421,-6.01,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198918400838415,NA
2018-09-26,"EC8",-0.0355,0.15125,22.91,885,8.47,3.1,0.7,100.6,8.62,9.2,"SSCN_01_08","SSCN",1,8,1450,1506,32.5,26,42,37,0,0,0.6,11,877,880,NA,361,362,"Changing water level made it difficult to sample this site. Should move this site to a slightly greater conductivity next trip. Same observed cond as site EC07",500,500,500,NA,NA,26.5,26.5,589.359011902261,589.359011902261,"2018-09-26 14:50:00","2018-09-26 15:06:00","2018-09-26 14:58:00",24.02,881.38,8.5,-107.345,NA,NA,10.96,3.14,-1.05,"2018-09-26 14:58:00",NA,11198.5123996261,11.1985123996261,"SSCN_01_08_S",3.504848056176,0.0206104,0.0041195,0.3375136,0.158733816,0.182334,0.10703005,0.0247299,0.134003916,0.178779784,7.91,1.48999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.6014412416851,-5.95,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.0019893038422004,NA
2018-09-26,"NL70",-0.0165,0.1305,21.38,768,7.93,3.2,0.8,90.7,8.01,22.8,"SSCN_01_01","SSCN",1,1,1015,1055,35,28,39,34,0,0,0.5,21,763,NA,NA,NA,NA,NA,500,500,500,NA,NA,29,29,644.958918685493,644.958918685493,"2018-09-26 10:15:00","2018-09-26 10:55:00","2018-09-26 10:34:09",21.5,761.73,8.33,-98.01,NA,NA,18.44,2.29,-1.06,"2018-09-26 10:34:10",NA,14904.6651854491,14.9046651854491,"SSCN_01_01_S",3.314708042684,0.0372024,0.0230692,0.4182724,0.1571754765,0.2074452,0.1023926905,0.0602716,0.0969038765,0.2610969235,21.0625,2.89999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.2272727272727,-6.73,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198774600034443,NA
2018-09-26,"NL76",-0.029,0.10975,23.465,994,8.495,2.7,0.65,104.75,8.88,4.1,"SSCN_01_09","SSCN",1,9,1520,1540,34.6,28,40,40,0,0,1.1,3.9,984,993,NA,NA,NA,NA,500,500,500,NA,NA,28.6,28.6,636.062933600176,636.062933600176,"2018-09-26 15:20:00","2018-09-26 15:40:00","2018-09-26 15:29:57",24.02,986.11,8.63,-114.51,NA,NA,4.41,2.61,-1.07,"2018-09-26 15:29:55",NA,7335.54958283604,7.33554958283604,"SSCN_01_09_S",3.7095280591,0.0197808,0,0.2298352,0.1478572125,0.1572228,0.10703005,0.0197808,0.1280764125,0.0819779875,3.85000000000002,1.35000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83166666666667,0.574224114203969,10,10.9368070953437,-5.83,0.153,NA,NA,NA,NA,NA,NA,NA,0.00204457099882103,NA,NA,0.00198954350974658,NA
2018-09-28,"EC2",-0.01375,0.084,21.46,852,8.27,2.3,0.5,89.6,7.9,11.8,"SSCN_02_02","SSCN",2,2,1214,1231,34,28,42,40,0,0,0.5,12.5,846,848,NA,388,389,NA,500,500,500,NA,NA,28,28,622.7189559722,622.7189559722,"2018-09-28 12:14:00","2018-09-28 12:31:00","2018-09-28 12:22:20",21.58,847.505,8.35,-98.71,7.93,90.115,9.96,1.94,-1.07,"2018-09-28 12:22:20",NA,11783.4753366175,11.7834753366175,"SSCN_02_02_S",3.3749011824,0.0247584,0.0115346,0.3868662,0.1171897125,0.182334,0.110124768,0.036293,0.0808967125,0.2696764875,11.4444444444445,1.88888888888891,5.806,0.0391069186413395,16.9803333333333,-2.53333333333333,-0.894499999999999,1.81,-121.1135,46.638,18.6105,134.5245,0.779666666666669,-0.797033577183741,-134.27265533028,17.0046233447957,0.691004525561861,-0.391401183039208,23.3992834688045,0.00553336368647199,4.33698373994523,18.795679956893,-10.2671195179472,-10.802825170445,5.32833333333333,4.23452870262245,10,10.5044345898004,-6.1,0.153,0.354038769658191,3.71897709812788,0.562251645781898,5.90613563612357,-0.208212876123707,-2.18715853799569,0.629680272728851,0.00204457099882103,0.00204218350042907,0.00201719890485623,0.00198900425760581,0.00206514021573634
